id_municipio,id_estacao,estacao,data_fundacao,geolocalizacao,altitude
3304524,A608,MACAE,2006-09-22,POINT(-22.3761111 -41.81194444),28
3300258,A606,ARRAIAL DO CABO,2006-09-22,POINT(-22.97527777 -42.02138888),5
3301009,A607,CAMPOS DOS GOYTACAZES,2006-09-25,POINT(-21.71472222 -41.34388888),17
3521408,A726,PIRACICABA,2006-09-26,POINT(-22.70305555 -47.62333332),566.46
3306206,A611,VALENCA,2006-09-27,POINT(-22.35805555 -43.69555555),370
4311759,A826,ALEGRETE,2006-09-28,POINT(-29.70916666 -55.52555554),121
4322400,A809,URUGUAIANA,2006-09-28,POINT(-29.83999999 -57.08194443),74.29
3304201,A609,RESENDE,2006-09-29,POINT(-22.45138888 -44.44499999),438.83
4315701,A813,RIO PARDO,2006-09-30,POINT(-29.87222221 -52.38194443),106.99
4110201,A823,INACIO MARTINS,2006-10-16,POINT(-25.56777777 -51.07805554),1208.85
5003702,A721,DOURADOS,2006-10-18,POINT(-22.19388888 -54.91138888),463.3
4108601,A825,GOIOERE,2006-10-19,POINT(-24.18388888 -53.04888888),481
5215231,A012,LUZIANIA,2006-10-21,POINT(-16.26055555 -47.96694443),1000.82
3303906,A610,PICO DO COUTO,2006-10-22,POINT(-22.46472222 -43.29138888),1777
5108956,A910,APIACAS,2006-10-24,POINT(-9.56333333 -57.3936111),217.75
5006903,A723,PORTO MURTINHO,2006-10-24,POINT(-21.70583333 -57.88666666),78.56
3204906,A616,SAO MATEUS,2006-10-25,POINT(-18.6761111 -39.86416666),28.66
3200201,A617,ALEGRE,2006-10-25,POINT(-20.75055555 -41.48888888),138
5005202,A724,CORUMBA,2006-10-26,POINT(-18.99666666 -57.63749999),111.73
4318622,A829,SAO JOSE DOS AUSENTES,2006-10-26,POINT(-28.7486111 -50.05777777),1228.59
3203205,A614,LINHARES,2006-10-27,POINT(-19.35694444 -40.0686111),40
5107909,A917,SINOP,2006-10-29,POINT(-11.98222221 -55.56611111),366.57
3201308,A612,VITORIA,2006-10-31,POINT(-20.27083332 -40.30583333),9
5000708,A719,AQUIDAUANA,2006-11-01,POINT(-20.47555554 -55.78388888),151.35
3301850,A618,TERESOPOLIS-PARQUE NACIONAL,2006-11-01,POINT(-22.4486111 -42.98694444),981
5002159,A722,MIRANDA,2006-11-02,POINT(-20.39555555 -56.43166666),132.49
5106273,A914,JUARA,2006-11-02,POINT(-11.28027777 -57.52666666),263.43
5003306,A720,COXIM,2006-11-06,POINT(-18.51222222 -54.7361111),251.48
5006309,A710,PARANAIBA,2006-11-10,POINT(-19.69555555 -51.18166666),408.06
4317202,A810,SANTA ROSA,2006-11-15,POINT(-27.84805555 -54.45222222),329
4109906,A824,ICARAIMA,2006-11-16,POINT(-23.39027777 -53.63583333),381.29
4120853,A820,MAL. CANDIDO RONDON,2006-11-18,POINT(-24.53333333 -54.01916666),392.07
3303807,A619,PARATY,2006-11-19,POINT(-23.2236111 -44.72694443),3
5102678,A912,CAMPO VERDE,2006-11-21,POINT(-15.55888888 -55.17944443),747
4115200,A835,MARINGA,2006-11-21,POINT(-23.40527777 -51.93277777),548.51
4120705,A821,JOAQUIM TAVORA,2006-11-23,POINT(-23.50527777 -49.94638888),512.67
5102850,A920,JUINA,2006-11-24,POINT(-11.37499999 -58.77472221),365.39
4307005,A828,ERECHIM,2006-11-25,POINT(-27.65777777 -52.30583333),777.08
4314100,A839,PASSO FUNDO,2006-11-27,POINT(-28.22666666 -52.40361111),680.67
5103304,A913,COMODORO,2006-11-28,POINT(-13.70805555 -59.7625),576.87
3110301,A530,CALDAS,2006-11-28,POINT(-21.91805554 -46.38305554),1077.34
4302105,A840,BENTO GONCALVES,2006-12-01,POINT(-29.16444444 -51.53416666),639
3139904,A531,MARIA DA FE,2006-12-01,POINT(-22.31444444 -45.37305554),1281.43
1716604,A018,PEIXE,2006-12-01,POINT(-12.01527777 -48.54444444),250.87
5105507,A922,VILA BELA DA SANTISSIMA TRINDADE,2006-12-01,POINT(-15.06277777 -59.87305554),213
4303509,A838,CAMAQUA,2006-12-12,POINT(-30.80805555 -51.83416666),92.3
5005400,A731,MARACAJU,2006-12-15,POINT(-21.60916666 -55.17749999),388.94
5100201,A908,AGUA BOA,2006-12-16,POINT(-14.01638888 -52.21166666),440
3120904,A538,CURVELO,2006-12-18,POINT(-18.74777777 -44.45388888),669.48
5007695,A732,SAO GABRIEL DO OESTE,2006-12-18,POINT(-19.42027777 -54.55305555),646
3554102,A728,TAUBATE,2006-12-20,POINT(-23.04166666 -45.52083332),582.26
5002951,A730,CHAPADAO DO SUL,2006-12-20,POINT(-18.80222222 -52.6025),820.82
1709500,A019,GURUPI,2006-12-20,POINT(-11.74499999 -49.05166666),274
4117271,A822,NOVA TEBAS,2006-12-21,POINT(-24.43388888 -51.95388888),660
2504009,A313,CAMPINA GRANDE,2006-12-22,POINT(-7.22555554 -35.90472222),546.17
4301602,A827,BAGE,2007-01-04,POINT(-31.34777777 -54.01333333),226.19
2407203,A317,MACAU,2007-01-06,POINT(-5.15111111 -36.57305554),17.37
2402006,A316,CAICO,2007-01-07,POINT(-6.46749999 -37.08499999),171.26
4311007,A836,JAGUARAO,2007-01-09,POINT(-32.53472221 -53.37583332),31.48
1721257,A020,PEDRO AFONSO,2007-01-23,POINT(-8.9686111 -48.17722221),189.71
4304507,A811,CANGUCU,2007-01-24,POINT(-31.40333333 -52.70083333),446.81
1703883,A021,ARAGUAINA,2007-01-26,POINT(-7.10388888 -48.20111111),230.76
5214861,A015,ITAPACI,2007-02-03,POINT(-14.97972221 -49.53944444),551
4117008,A842,NOVA FATIMA,2007-02-08,POINT(-23.41527777 -50.57777777),664.31
4311304,A844,LAGOA VERMELHA,2007-03-02,POINT(-28.22249999 -51.51277777),833.83
4107207,A843,DOIS VIZINHOS,2007-03-29,POINT(-25.69916666 -53.09527777),545.95
3303203,A621,RIO DE JANEIRO - VILA MILITAR,2007-04-13,POINT(-22.86138888 -43.41138888),30.43
5218300,A017,POSSE,2007-04-18,POINT(-14.08916666 -46.36638888),830
5218805,A025,RIO VERDE,2007-05-17,POINT(-17.78527777 -50.965),780.11
3303302,A652,RIO DE JANEIRO - FORTE DE COPACABANA,2007-05-18,POINT(-22.98833333 -43.19055555),25.59
5204409,A023,CAIAPONIA,2007-05-21,POINT(-16.96694443 -51.81749999),740.1
2411056,A318,MOSSORO,2007-05-22,POINT(-4.90416666 -37.36694443),29.44
5100250,A924,ALTA FLORESTA,2007-05-23,POINT(-10.07722221 -56.17916666),291.85
2803005,A417,ITABAIANINHA,2007-05-23,POINT(-11.27249999 -37.79499999),204.8
5211909,A016,JATAI,2007-05-23,POINT(-17.9236111 -51.71749999),670.08
3113404,A554,CARATINGA,2007-05-24,POINT(-19.73583333 -42.13722221),609.25
3136702,A518,JUIZ DE FORA,2007-05-26,POINT(-21.76999999 -43.36444444),936.88
2305100,A314,GUARAMIRANGA,2007-05-26,POINT(-4.22916666 -38.95888888),865.53
2910800,A413,FEIRA DE SANTANA,2007-05-26,POINT(-12.1961111 -38.96749999),229.64
3127701,A532,GOVERNADOR VALADARES,2007-05-27,POINT(-18.83027777 -41.97694443),198.24
2928406,A415,SANTA RITA DE CASSIA,2007-05-28,POINT(-11.00333333 -44.53638888),450
5103379,A919,COTRIGUACU,2007-05-28,POINT(-9.90638888 -58.57222221),265
3147600,A529,PASSA QUATRO,2007-05-30,POINT(-22.39583333 -44.96194444),1017.1
2305506,A319,IGUATU,2007-05-30,POINT(-6.39638888 -39.26888888),221.56
4306106,A853,CRUZ ALTA,2007-05-31,POINT(-28.60333333 -53.6736111),426.69
2308401,A315,BARBALHA,2007-05-31,POINT(-7.30083333 -39.2711111),409.41
3123205,A536,DORES DO INDAIA,2007-06-01,POINT(-19.48194443 -45.59388888),721.09
2933307,A414,VITORIA DA CONQUISTA,2007-06-01,POINT(-14.88638888 -40.80138888),879.38
5222302,A022,GOIANESIA,2007-06-02,POINT(-15.22027777 -48.98999999),667.01
3128006,A533,GUANHAES,2007-06-02,POINT(-18.78694444 -42.94305555),852.68
5200605,A024,ALTO PARAISO DE GOIAS,2007-06-04,POINT(-14.13305554 -47.52333332),1264.7
3121001,A537,DIAMANTINA,2007-06-05,POINT(-18.231052 -43.648269),1359.25
